Plate,Timestamp,Action,Status,Remarks
Unknown,2025-04-11 16:21:16,Denied,Denied,Abu Dhabi plate
S3227,2025-04-11 16:21:25,Entry,Granted,Access granted (new entry)
Unknown,2025-04-11 16:24:16,Denied,Denied,Abu Dhabi plate
Unknown,2025-04-11 16:24:21,Denied,Denied,Abu Dhabi plate
Unknown,2025-04-11 16:24:26,Denied,Denied,Abu Dhabi plate
Unknown,2025-04-11 16:24:33,Denied,Denied,Abu Dhabi plate
Unknown,2025-04-11 16:24:39,Denied,Denied,Abu Dhabi plate
S3227,2025-04-11 16:26:20,Payment,Granted,Paid and exit granted
S3227,2025-04-11 16:27:13,Payment,Granted,Paid and exit granted
S3227,2025-04-11 16:28:04,Payment,Granted,Paid and exit granted
S3227,2025-04-11 16:29:00,Payment,Granted,Paid and exit granted
S3227,2025-04-11 16:30:01,Payment,Granted,Paid and exit granted
S3227,2025-04-11 16:30:37,Payment,Granted,Paid and exit granted
S3227,2025-04-11 16:31:12,Payment,Granted,Paid and exit granted
Unknown,2025-04-11 16:31:20,Denied,Denied,Abu Dhabi plate
Unknown,2025-04-11 16:31:52,Denied,Denied,Abu Dhabi plate
S3227,2025-04-11 16:32:18,Payment,Granted,Paid and exit granted
Q5121,2025-04-11 16:41:17,Entry,Granted,Access granted (new entry)
Q5121,2025-04-11 16:45:47,Payment,Granted,Paid and exit granted
Unknown,2025-04-11 16:46:07,Denied,Denied,Abu Dhabi plate
Q5121,2025-04-11 16:47:24,Payment,Granted,Paid and exit granted
Unknown,2025-04-11 16:47:35,Denied,Denied,Abu Dhabi plate
Q5121,2025-04-11 16:51:12,Payment,Granted,Paid and exit granted
Unknown,2025-04-11 16:51:25,Denied,Denied,Abu Dhabi plate
Q5121,2025-04-11 16:51:50,Payment,Granted,Paid and exit granted
Q5121,2025-04-12 18:03:06,Payment,Granted,Paid and exit granted
Q5121,2025-04-12 18:03:50,Payment,Granted,Paid and exit granted
Unknown,2025-04-12 18:04:15,Denied,Denied,Abu Dhabi plate
Q5121,2025-04-12 18:04:32,Payment,Granted,Paid and exit granted
Q5121,2025-04-12 18:05:12,Payment,Granted,Paid and exit granted
Unknown,2025-04-12 18:10:20,Denied,Denied,Abu Dhabi plate
Unknown,2025-04-12 18:10:57,Denied,Denied,Abu Dhabi plate
Q5121,2025-04-12 18:11:08,Payment,Granted,Paid and exit granted
Q5121,2025-04-12 18:17:38,Payment,Granted,Paid and exit granted
Unknown,2025-04-12 18:23:19,Denied,Denied,Abu Dhabi plate
R6729,2025-04-12 18:23:52,Entry,Granted,Access granted (new entry)
Unknown,2025-04-12 18:24:17,Denied,Denied,Abu Dhabi plate
R6729,2025-04-12 18:24:38,Payment,Granted,Paid and exit granted
R6729,2025-04-12 18:25:13,Payment,Granted,Paid and exit granted
